,Domain,Page rank integer,Page rank decimal,Site Rank,Domain registrar,Postal code,Country of origin,Harmless,Malicious,Suspicious,Undetected,Timeout,No. of Local links,No. of Outbound links,Total links,Links to fake news site?,Wordpress?,Site Rating
133,heraldcourier.com,5,4.54,73833,"TUCOWS, INC.",REDACTED FOR PRIVACY,US,86,0,0,10,0,174,9,183,FALSE,FALSE,Real
134,brooklyneagle.com,5,4.7,41143,"GoDaddy.com, LLC",85284,US,83,0,0,13,0,161,17,178,FALSE,TRUE,Real
135,buffalonews.com,5,5.37,6579,"GoDaddy.com, LLC",85284,US,84,0,0,12,0,175,15,190,FALSE,FALSE,Real
136,chicago.suntimes.com,5,5.42,6076,"Network Solutions, LLC",60607-2184,US,82,0,0,14,0,161,22,183,FALSE,FALSE,Real
137,chicagotribune.com,6,6.14,771,"GoDaddy Corporate Domains, LLC",60654,US,84,0,0,12,0,215,24,239,FALSE,FALSE,Real
138,csmonitor.com,6,5.82,2154,NOM-IQ Ltd dba Com Laude,02115-3012,US,84,0,0,12,0,125,8,133,FALSE,FALSE,Real
139,commercialappeal.com,5,5.04,18677,"GoDaddy Corporate Domains, LLC",,US,84,0,0,12,0,40,6,46,FALSE,FALSE,Real
140,courier-journal.com,5,5.36,6680,"GoDaddy Corporate Domains, LLC",,US,83,0,0,13,0,42,6,48,FALSE,FALSE,Real
141,tdn.com,5,4.67,45840,"TUCOWS, INC.",REDACTED FOR PRIVACY,US,86,0,0,10,0,174,7,181,FALSE,FALSE,Real
142,dallasnews.com,5,5.47,5629,"Network Solutions, LLC",75201,US,84,0,0,12,0,234,12,246,FALSE,FALSE,Real
143,denverpost.com,6,5.76,2713,"CSC CORPORATE DOMAINS, INC.",80202,US,83,0,0,13,0,184,22,206,FALSE,TRUE,Real
144,desmoinesregister.com,5,5.3,7530,"GoDaddy Corporate Domains, LLC",,US,83,0,0,13,0,42,7,49,FALSE,FALSE,Real
145,deseret.com,5,5.21,14867,https://www.101domain.com/,84101,US,86,0,0,10,0,143,11,154,FALSE,FALSE,Real
146,freep.com,6,5.57,4981,"GoDaddy Corporate Domains, LLC",,US,84,0,0,12,0,37,6,43,FALSE,FALSE,Real
147,detroitnews.com,5,5.46,5700,"Network Solutions, LLC",32256,US,85,0,0,11,0,33,7,40,FALSE,FALSE,Real
148,eagletribune.com,5,4.64,50566,"GoDaddy.com, LLC",85284,US,86,0,0,10,0,160,25,185,FALSE,FALSE,Real
149,eastbaytimes.com,5,5.05,18461,"CSC CORPORATE DOMAINS, INC.",80202,US,83,0,0,13,0,145,32,177,FALSE,TRUE,Real
150,gazette.com,5,5.25,14324,"GoDaddy.com, LLC",85284,US,83,0,0,13,0,262,18,280,FALSE,FALSE,Real
151,grandforksherald.com,5,4.7,41638,"GoDaddy.com, LLC",85284,US,86,0,0,10,0,151,15,166,FALSE,FALSE,Real
152,theguardian.com,8,7.51,73,"GoDaddy.com, LLC",85284,US,84,0,0,12,0,218,11,229,FALSE,FALSE,Real
153,courant.com,5,5.42,6006,"GoDaddy Corporate Domains, LLC",60654,US,83,0,0,13,0,211,23,234,FALSE,FALSE,Real
154,hutchnews.com,4,4.36,151426,"GoDaddy Corporate Domains, LLC",,US,86,0,0,10,0,25,15,40,FALSE,FALSE,Real
155,indystar.com,5,5.41,6110,"GoDaddy Corporate Domains, LLC",,US,85,0,0,11,0,36,10,46,FALSE,FALSE,Real
156,journalstar.com,5,5.34,6930,"TUCOWS, INC.",REDACTED FOR PRIVACY,US,82,0,0,14,0,187,11,198,FALSE,FALSE,Real
157,latimes.com,7,6.81,214,"MarkMonitor, Inc.",,US,84,0,0,12,0,210,9,219,FALSE,FALSE,Real
158,lufkindailynews.com,4,4.49,88794,"TUCOWS, INC.",M6K 3M1,CA,86,0,0,10,0,154,12,166,FALSE,FALSE,Real
159,jsonline.com,6,5.77,2524,"GoDaddy Corporate Domains, LLC",,US,84,0,0,12,0,35,7,42,FALSE,FALSE,Real
160,montgomeryadvertiser.com,5,4.73,38475,"GoDaddy Corporate Domains, LLC",,US,85,0,0,11,0,38,6,44,FALSE,FALSE,Real
161,nytimes.com,8,7.98,44,"MarkMonitor, Inc.",10018,US,84,0,0,12,0,113,10,123,FALSE,FALSE,Real
162,newsherald.com,5,5,19996,"GoDaddy Corporate Domains, LLC",,US,84,0,0,12,0,38,2,40,FALSE,FALSE,Real
163,news-sentinel.com,4,4.31,195989,"GoDaddy.com, LLC",85284,US,83,0,0,13,0,33,14,47,FALSE,TRUE,Real
164,newsday.com,6,5.58,4919,"GoDaddy.com, LLC",11747,US,86,0,0,10,0,120,7,127,FALSE,FALSE,Real
165,uticaod.com,5,4.68,43733,"GoDaddy Corporate Domains, LLC",,US,85,0,0,11,0,38,1,39,FALSE,FALSE,Real
166,omaha.com,5,5.11,17043,"TUCOWS, INC.",REDACTED FOR PRIVACY,US,84,0,1,11,0,193,14,207,FALSE,FALSE,Real
167,ocregister.com,5,5.43,5964,"CSC CORPORATE DOMAINS, INC.",80202,US,84,0,0,12,0,164,30,194,FALSE,TRUE,Real
168,oregonlive.com,6,5.87,1690,"CSC CORPORATE DOMAINS, INC.",10007,US,83,0,0,13,0,134,17,151,FALSE,FALSE,Real
169,pajaronian.com,4,4.25,376437,GoDaddy Online Services Cayman Islands Ltd.,,US,83,0,0,13,0,58,38,96,FALSE,FALSE,Real
170,palestineherald.com,4,4.27,285251,"GoDaddy.com, LLC",85284,US,86,0,0,10,0,125,30,155,FALSE,FALSE,Real
171,palmbeachpost.com,5,5.25,14314,"GoDaddy Corporate Domains, LLC",,US,84,0,0,12,0,39,1,40,FALSE,FALSE,Real
172,inquirer.com,5,5.26,14227,"GoDaddy.com, LLC",,,86,0,0,10,0,43,3,46,FALSE,FALSE,Real
173,ptreyeslight.com,4,4.34,170813,Pair Domains,GDPR Redacted,US,85,0,0,11,0,34,6,40,FALSE,TRUE,Real
